id,user,type,title,description,youtube,image,video,pdf,url,status,sortOrder,is_deleted,create_date,modify_date
14,19,3,Hive Hostel,"Role: Backend Developer\r\nResponsibility: \r\nNode.js\r\nRESTful API Development\r\nMySQL & Database Optimization\r\nJavaScript,\r\nAuthentication (JWT, OAuth)\r\nThird-Party API Integration\r\nMVC Architecture\r\nGit, GitHub, Bitbucket",,,,,https://www.thehivehostels.com/,1,2,1,2025-03-26 00:00:00,2025-05-29 00:00:00
15,18,3,Collar Check,,,,,,https://www.collarcheck.com/,1,1,0,2025-03-26 00:00:00,2025-03-26 00:00:00
16,1,1,Employee of the Month,"Grateful and honored to be recognized as Employee of the Quarter! Hard work, consistency, and passion always pay off",,uploads/document/1743088857_4c29429ac7feb4cacf80.jpeg,,,,1,1,0,2025-03-27 00:00:00,2025-03-27 00:00:00
17,145,3,Portfolio link,,,,,,https://drive.google.com/drive/folders/1RKJIvzoI7tCm21RGtCYN8rkKcFbw8u7l,1,1,0,2025-03-30 00:00:00,2025-03-30 00:00:00
18,145,3,Portfolio link,,,,,,https://drive.google.com/drive/folders/1RKJIvzoI7tCm21RGtCYN8rkKcFbw8u7l,1,1,0,2025-03-30 00:00:00,2025-03-30 00:00:00
19,145,3,Portfolio link,,,,,,https://drive.google.com/drive/folders/1RKJIvzoI7tCm21RGtCYN8rkKcFbw8u7l,1,1,0,2025-03-30 00:00:00,2025-03-30 00:00:00
20,158,3,My portfolio website ,"My portfolio showcases my expertise as a Web and Frontend Developer, highlighting my proven experience and education. It proudly presents a selection of my successful projects, reflecting my commitment to innovative design, technical proficiency, and impactful solutions. Browse around to view the unique value I bring to this dynamic industry.",,,,,https://janmejaysingh.netlify.app,1,1,0,2025-03-30 00:00:00,2025-03-30 00:00:00
21,172,3,Video Editing Portfolio ,,,,,,https://jatannipurte.framer.website/,1,1,0,2025-03-30 00:00:00,2025-03-30 00:00:00
22,134,1,Mr.,i have done multiple projects where worked in projects of software testing.,,uploads/document/1746075836_54744c733945ceb1092a.jpg,,,,1,1,0,2025-03-30 00:00:00,2025-05-03 00:00:00
23,134,4,QA,"I am QA Engineer, Where can skill developed with java, selenium, testng, BDD",,,,uploads/document/1743359155_d575fe2a9bbb499f204b.pdf,,1,1,0,2025-03-30 00:00:00,2025-12-01 00:00:00
24,18,1,asd,asd,,uploads/document/1743397567_aad32c678d2d73aa707c.png,,,,1,1,1,2025-03-31 00:00:00,2025-03-31 00:00:00
25,144,3,Ecommerce website,"Built a simple e-commerce website enabling users to browse products, add them to the cart or wishlist and\r\ncomplete the checkout process using Stripe.\r\nDeveloped a comprehensive REST API supporting essential ecommerce functionalities including product\r\nmanagement, user authentication, order processing, and product management.\r\nDesigned endpoints for adding, updating, and deleting products; managing customer profiles and orders.\r\n",,,,,github.com/adity672roy/NC_Store,1,1,1,2025-04-01 00:00:00,2025-04-01 00:00:00
26,144,3,Ecommerce dashboard ,"Created an e-commerce dashboard for admin users to manage products and collections.\r\nEnabled tracking of customers, their order details, total revenue, and orders.\r\nOptimized database interactions and ensured scalability using MongoDB, achieving high performance and data\r\nintegrity.\r\nIntegrated Stripe for secure payment processing.\r\nImplemented REST API for efficient data handling and communication.\r\nUsed Clerk for authentication and user management.",,,,,https://github.com/adity672roy/NC_Admin_Dashboard,1,1,1,2025-04-01 00:00:00,2025-04-01 00:00:00
27,144,3,Coffee shop,Developed a platform where users can browse and select from different varieties of coffee.\r\nImplemented a table reservation feature where users can provide their details to reserve a table.\r\nIntegrated EmailJS to send confirmation emails for table reservations.\r\nUtilized ReactJS to build an intuitive and responsive user interface.,,,,,github.com/adity672roy/Coffee-Shop,1,1,1,2025-04-01 00:00:00,2025-04-01 00:00:00
28,144,3,VR Landing Page ,"Successfully deployed the VR landing page, garnering positive user feedback for its innovative\r\nand immersive design.",,,,,github.com/adity672roy/VR-landing-page ,1,1,1,2025-04-01 00:00:00,2025-04-01 00:00:00
29,144,3,Netflix Clone ,"Developed a Netflix clone utilizing the TMDB API for movie data retrieval.\r\nImplemented user authentication and data storage using Firebase.\r\nEnabled users to search for movies by genre and like or unlike them.\r\nUtilized Redux for state management to ensure a seamless user experience.\r\nBuilt a scalable backend with NodeJS and ExpressJS, and managed data with MongoDB.",,,,,github.com/adity672roy/Netflix-clone ,1,1,1,2025-04-01 00:00:00,2025-04-01 00:00:00
30,252,3,Personal Portfolio,,,,,,https://main--legendary-kitten-55e4a9.netlify.app/,1,1,0,2025-04-02 00:00:00,2025-04-02 00:00:00
31,313,1,Interface for Website,,,uploads/document/1743663271_586283dbdad1b276bdc1.jpg,,,,1,1,1,2025-04-03 00:00:00,2025-04-03 00:00:00
32,475,3,PORTFOLIO,,,,,,https://drive.google.com/file/d/1XEScWNT1dHsfl5J9qSxdonCPigN_GEbV/view?usp=drivesdk,1,1,0,2025-04-12 00:00:00,2025-04-12 00:00:00
33,528,3,Personal portfolio,Personal portfolio showcases all my projects and my skills,,,,,https://vinay-sehwag-showcase.vercel.app/,1,1,0,2025-04-14 00:00:00,2025-04-14 00:00:00
34,535,3,My Edits,"-write with AI\r\n83 / 500\r\n\r\nAt My Edits, we breathe new life into rap, dance, and gaming videos with expert editing. With industry-focused skills, we enhance visual storytelling, elevate performances, and transform ordinary footage into engaging artistry. Unique quality, creative solutions, and high-impact results define our services",,,,,https://naitik-rk11.wistia.com/folders/8192ux8jyw,1,1,0,2025-04-16 00:00:00,2025-04-16 00:00:00
35,579,3,SEO Optimized Content,,,,,,https://drive.google.com/drive/u/0/folders/1leIPl_p3K0N62krV0RRinZjG4C5AFofa,1,1,0,2025-04-17 00:00:00,2025-04-17 00:00:00
37,637,3,Portfolio Meet,"Portfolio Meet specializes in visual communication, web graphics, VFX animation, and product design. With expert insight and creativity, we craft engaging designs tailored to each client's unique needs. Our versatile range of services drives impactful results, positioning brands strategically in their industry.",,,,,https://meetspandit1800.wixsite.com/meetpandit,1,1,0,2025-04-20 00:00:00,2025-04-20 00:00:00
38,656,3,Showreels,,,,,,https://drive.google.com/drive/folders/1QvmQh506TT_4HzZWfzVnwtTl45aHQEVN,1,1,0,2025-04-21 00:00:00,2025-04-21 00:00:00
40,704,4,CV_Finance_Raj,,,,,uploads/document/1745413240_541300f1455a344551da.pdf,,1,1,1,2025-04-23 00:00:00,2025-04-23 00:00:00
41,763,3,Portfolio,,,,,,https://www.ekjotoberoi.com,1,1,0,2025-04-24 00:00:00,2025-04-24 00:00:00
42,134,1,QA,@@@@!!,,,,,,1,1,1,2025-04-26 00:00:00,2025-04-26 00:00:00
43,788,4,Portfolio,,,,,uploads/document/1745656798_72ff85651131181261b7.pdf,,1,1,0,2025-04-26 00:00:00,2025-04-26 00:00:00
44,313,4,UI/UX Developer,"I’m a UI/UX Developer focused on creating user-friendly, visually appealing digital experiences. With skills in Figma, React.js, Next.js, and Tailwind CSS, I design responsive, accessible interfaces that bridge the gap between design and functionality, ensuring both aesthetics and usability.",,,,uploads/document/1745661811_663ea5fcad989833d8bc.pdf,,1,1,0,2025-04-26 00:00:00,2025-04-26 00:00:00
45,366,3,My portfolio,Full stack developer,,,,,https://seeprince.vercel.app/,1,1,0,2025-04-27 00:00:00,2025-04-27 00:00:00
46,887,3,LinkedIn,,,,,,https://www.linkedin.com/in/davender-singh-012b23268,1,1,0,2025-04-27 00:00:00,2025-04-27 00:00:00
47,887,3,GitHub,,,,,,https://github.com/davender-singh,1,1,0,2025-04-27 00:00:00,2025-04-27 00:00:00
48,906,3,Fullstack Developer,Fullstack Developer portfolio,,,,,https://iamjayanth.netlify.app/,1,1,0,2025-04-28 00:00:00,2025-04-28 00:00:00
50,984,3,Destiny Travel App UX Case study,"Led the end-to-end design of the Destiny Travels mobile application, ensuring WCAG 2.1 compliance and optimizing for cross-platform performance. The design process included detailed case studies with user research, wireframes, journey maps, and interactive prototypes, resulting in a 40% improvement in user satisfaction during prototype testing.",,,,,https://www.behance.net/gallery/223984399/Destiny-Travels-Mobile-App,1,1,0,2025-04-29 00:00:00,2025-04-29 00:00:00
51,994,3,Jaideep's Portfolio,,,,,,jaideepn.vercel.app,1,1,0,2025-04-29 00:00:00,2025-04-29 00:00:00
53,1017,4,Digital marketing,"Specializing in digital marketing, our portfolio showcases expertise in industry-focused tactics such as Google Ads, social media campaigns, and comprehensive digital plans for brand growth. We leverage data-driven insights to create tailor-made solutions, helping businesses connect with their audiences and succeed in a competitive digital landscape. From optimizing social media engagement to analyzing metrics for impactful strategies, we deliver measurable business transformation.",,,,uploads/document/1745913049_1e92a75cc1bc1cc6cb77.pdf,,1,1,0,2025-04-29 00:00:00,2025-04-29 00:00:00
54,1071,3,Sample work,,,,,,https://drive.google.com/drive/folders/1NXh8DWjvIpAlq_Da-QYHPtPuRR5kQLCh?usp=sharing,1,1,0,2025-04-30 00:00:00,2025-04-30 00:00:00
55,1071,3,Instagram work links,,,,,,https://www.instagram.com/reel/C6F3eBroGcl/?igsh=MXQ1bmJwc3Z5emc2dA==  https://www.instagram.com/share/reel/BAFGgBOlEd  https://www.instagram.com/share/reel/_i31F_JPq          ,1,1,0,2025-04-30 00:00:00,2025-04-30 00:00:00
56,1309,4,Graphic Portfolio,,,,,uploads/document/1746376017_243703ab1e4481c0acc3.pdf,,1,1,0,2025-05-04 00:00:00,2025-05-04 00:00:00
57,1309,4,UI/UX Portfolio,,,,,,,1,1,0,2025-05-04 00:00:00,2025-05-04 00:00:00
58,1379,3,Social media web application,,,,,,https://github.com/aswinrs1511/social,1,1,0,2025-05-05 00:00:00,2025-05-05 00:00:00
59,724,4,Executive Assistant to Director,"An Executive Assistant to the Director with 7+ years of experience, excelling in managing directorial itineraries and coordination. This portfolio offers a focused approach on executive support within fast-paced industries, providing efficient and professional services while creating significant administrative impact.",,,,uploads/document/1746439309_a298b61b88ab41c06c2c.pdf,,1,1,1,2025-05-05 00:00:00,2025-05-05 00:00:00
60,1419,1,Menu Design,,,uploads/document/1746463092_d9153a6c3c4511b9cc6d.jpg,,,,1,1,0,2025-05-05 00:00:00,2025-05-05 00:00:00
61,1443,3,Portfolio,,,,,,https://www.behance.net/shoaibmalik56,1,1,0,2025-05-06 00:00:00,2025-05-06 00:00:00
62,1460,3,VIDEO EDITING PORTFOLIO,This is my video editing portfolio which showcases every piece of work I've done so far,,,,,https://chiragpporfolio.carrd.co,1,1,0,2025-05-06 00:00:00,2025-05-06 00:00:00
63,1377,1,portflio,web develper,,uploads/document/1746560505_2ab378bcb2a3afb2d33e.jpg,,,,1,1,0,2025-05-07 00:00:00,2025-05-07 00:00:00
64,1482,3,Video Communication with Integrated Patient Information,"Specializing in health-tech, our portfolio showcases an innovative video communication platform integrated with patient data. The focus lies in providing a seamless and efficient telemedicine experience for doctors and patients. Our expertise in UI/UX design guarantees easy access, real-time updates, secure data handling, and high user satisfaction. This project is set to transform digital healthcare, fostering accessibility and connectivity.",,,,,https://dribbble.com/shots/24737347-Video-Communication-with-Integrated-Patient-Information,1,1,0,2025-05-07 00:00:00,2025-05-07 00:00:00
65,1482,3,Multi-Purpose Dashboard Design,"Our Multi-Purpose Dashboard Design provides a versatile, customizable interface, unifying data from diverse sources into an easily comprehensible format. Tailored to diverse users' needs, it enhances decision-making and boosts user engagement. With real-time data, interactive visualizations, and a responsive design, our product ensures pleasant user experiences across devices and departments.",,,,,https://dribbble.com/shots/24216036-Multi-Purpose-Dashboard-Design,1,1,0,2025-05-07 00:00:00,2025-05-07 00:00:00
66,1482,3,Hotelity - Complete hotel booking system app,"Hotelity is an advanced hotel booking system app, specializing in effortless reservation experiences. It offers a comprehensive platform for users to browse, compare, and book hotels globally. Our intuitive, visually powerful interface sets the standard for simplicity and functionality, promising unparalleled user satisfaction.",,,,,https://dribbble.com/shots/23950429-Hotelity-Complete-hotel-booking-system-app,1,1,0,2025-05-07 00:00:00,2025-05-07 00:00:00
67,1567,1,https://drive.google.com/drive/folders/1BfUgrl-TbHnkP_go6NnXbJdeYfcbZ1hd?usp=drive_link,"A collection of ad campaigns crafted during my media studies, featuring brands like Zomato and Kurkure. Showcases concept development, copywriting, and visual storytelling with a focus on brand voice, humor, and market relevance.",,,,,,1,1,0,2025-05-08 00:00:00,2025-05-08 00:00:00
68,1606,3,Portfolio,,,,,,https://portfolio-three-chi-11.vercel.app/,1,1,0,2025-05-09 00:00:00,2025-05-09 00:00:00
69,1613,3,UI and Graphic Design,,,,,,https://www.behance.net/amitkumarr1e03,1,1,0,2025-05-09 00:00:00,2025-05-09 00:00:00
70,1624,3,My Portfolio,,,,,,https://ankitfirst.github.io/Ankit-portfolio/,1,1,0,2025-05-09 00:00:00,2025-05-09 00:00:00
71,1700,3,Marketing Portfolio,"My Marketing Portfolio encapsulates astute strategy, creative flare, and industry adeptness in the tech space. Featuring innovative digital campaigns, strategy mastery, and social media acumen, we merge data-driven insights with powerful storytelling. My approach not only captivates audiences but powers substantial business expansion too.",,,,,https://kashishgupta23.my.canva.site/kashsih-gupta-marketing-portfolio,1,1,0,2025-05-11 00:00:00,2025-05-11 00:00:00
72,1727,3,Behance,,,,,,https://www.behance.net/deepanshu3108,1,1,0,2025-05-12 00:00:00,2025-05-12 00:00:00
73,1926,1,Software Developer,"\""As a dedicated software developer, I bring expertise in areas like mobile and cloud-based application development, backed by robust skills in Java, Kotlin, Python, and Node.js. My unique value lies in blending system design and quality assurance to deliver user-centric solutions, emphasizing enhanced user experience and efficient data management.\""",,uploads/document/1747329080_c2cded27891f2284c0e9.jpg,,,,1,1,0,2025-05-15 00:00:00,2025-05-15 00:00:00
74,2035,3,Design portfolio,"This portfolio showcases expert skills in graphical design, video editing, and motion graphics. Especially catered to marketing campaigns, our services deliver unique, attention-grabbing content with a significant impact on audience engagement and conversion rates.",,,,,https://www.behance.net/thefrudesigner,1,1,0,2025-05-18 00:00:00,2025-05-18 00:00:00
75,2140,3,eCommerce App,,,,,,https://www.amazon.in/minitv/tp/97a9fc97-4ad4-4b11-b237-f0fd3ba96cc3?refMarker=ams_s,1,1,0,2025-05-20 00:00:00,2025-05-20 00:00:00
76,2229,3,Design,"A versatile design portfolio featuring UI/UX, responsive web, mobile apps, dashboards, and branding. Combining modern aesthetics with user-centric principles, I deliver intuitive, cross-device solutions that seamlessly blend form and function, leveraging tools like Figma, Photoshop, and front-end development skills.",,,,,https://www.behance.net/anilwebdesigner/,1,1,0,2025-05-21 00:00:00,2025-05-21 00:00:00
77,2346,1,Designing Portfolio,Link to my portfolio:\r\nportfolioguido.my.canva.site/anuragsingh,,,,,,1,1,1,2025-05-22 00:00:00,2025-05-22 00:00:00
78,2346,1,Designing Portfolio,Link to my portfolio:\r\nportfolioguido.my.canva.site/anuragsingh,,,,,,1,1,0,2025-05-22 00:00:00,2025-05-22 00:00:00
79,14,3,Environics,Role: Full Stack\r\nPlatform: Wordpress,,,,,https://environics.co.in/,1,5,0,2025-05-29 00:00:00,2025-05-29 00:00:00
80,14,3,New Era India (EnWorld),Role: Frontend Developer\r\nPlatfrom: Wordpress,,,,,https://neweraindia.com/,1,5,0,2025-05-29 00:00:00,2025-05-29 00:00:00
81,14,3,Go Rewise,Role: Frontend Developer\r\nPlatform: Wordpress,,,,,https://www.gorewise.com/,1,5,0,2025-05-29 00:00:00,2025-05-29 00:00:00
82,14,3,Binary Global,Role: Frontend Developer\r\nPlatform: React + Next JS,,,,,https://binaryglobal.com/,1,5,0,2025-05-29 00:00:00,2025-05-29 00:00:00
83,14,3,House Eazy,Role: Frontend Developer\r\nPlatform: React + Next JS,,,,,https://houseeazy.com/,1,4,0,2025-05-29 00:00:00,2025-05-29 00:00:00
84,14,3,Brawn Group,Role: Frontend Developer\r\nPlatform: React + Next JS,,,,,https://brawngroup.in/,1,5,0,2025-05-29 00:00:00,2025-05-29 00:00:00
85,14,3,Collar Check,Role: Senior Frontend Developer\r\nPlatform: React + Next JS,,,,,https://www.collarcheck.com/,1,1,0,2025-05-29 00:00:00,2025-05-29 00:00:00
86,14,3,Tonoto,Role: Frontend Developer + Shopify\r\nPlatform: Shopify (Custom Theme),,,,,https://www.tonoto.in/,1,5,0,2025-05-29 00:00:00,2025-05-29 00:00:00
87,14,3,Elvy,Role: Frontend Developer + Shopify\r\nPlatform: Shopify (Custom Theme),,,,,http://elvy.com/,1,5,0,2025-05-29 00:00:00,2025-05-29 00:00:00
88,14,3,Wild Stone,Role: Shopify Developer\r\nPlatform: Shopify (Custom Theme),,,,,https://www.wildstone.in/,1,2,0,2025-05-29 00:00:00,2025-05-29 00:00:00
89,14,3,Code Grooming,Role: Shopify Developer \r\nPlatform: Shopify (Custom Theme),,,,,https://codegrooming.com/,1,3,0,2025-05-29 00:00:00,2025-05-29 00:00:00
90,19,3,Collar Check Pvt. Ltd.,"Role: Backend Developer\r\nResponsibility: \r\nNode.js\r\nRESTful API Development\r\nMySQL & Database Optimization\r\nJavaScript,\r\nAuthentication (JWT, OAuth)\r\nThird-Party API Integration\r\nMVC Architecture\r\nGit, GitHub, Bitbucket\r\nAgile & Scrum Methodologies\r\nPostman & API Testing",,,,,https://www.collarcheck.com/,1,1,0,2025-05-29 00:00:00,2025-05-29 00:00:00
91,2670,3,Eswatini Environment Authority (EEA)-Waste Management System,"Waste Data Of All Over Country From Eswatini. And dump sites tracking waste tracking portal , dashboards, charts, analytics.",,,,,https://wmis-eswatini.itechmission.org,1,1,0,2025-06-02 00:00:00,2025-06-02 00:00:00
92,2670,3,SDG INDIA Official Portal,"Developed on React js And Angular and React native and node js, express js, mongo db.\r\nTo manage sustainable goals data of India.",,,,,https://sdgindiaindex.niti.gov.in,1,1,0,2025-06-02 00:00:00,2025-06-02 00:00:00
93,2670,3,Hotel Chain Website And Portal,"Lemon tree portal develped on php, dot. net and sql.",,,,,https://www.lemontreehotels.com/,1,1,0,2025-06-02 00:00:00,2025-06-02 00:00:00
94,2670,3,Mobatree Ecommerce Website,"Mobatree single nich ecommerce potal developed on , wordpress, php and mysql.",,,,,https://www.mobatree.com/,1,1,0,2025-06-02 00:00:00,2025-06-02 00:00:00
95,2670,3,Deva Dashboard OF Wellbeing From Bhutan,"Developed on angular, mongo ddb, node and java.",,,,,https://dewa.itechmission.org/,1,1,0,2025-06-02 00:00:00,2025-06-02 00:00:00
96,3027,3,Digital marketer,,,,,,https://remarkable-surfboard-0f5.notion.site/Saba-Shaikh-1452369290bc80d2b274e8e063eb6cb7?pvs=143,1,1,0,2025-06-03 00:00:00,2025-06-03 00:00:00
97,3205,4,Account & Commetcial manager,,,,,,,1,1,0,2025-06-06 00:00:00,2025-06-06 00:00:00
98,3222,1,Network Engineer,,,uploads/document/1749202757_351f765f034dbd9414ab.jpg,,,,1,1,0,2025-06-06 00:00:00,2025-06-06 00:00:00
99,3225,1,CRM &Planner  and Admin,"Expertise in Client Relationship Management and Planning Coordination, specializing in seamless client interactions, meticulous plan verification, and efficient admissions. Focused on enhancing operational workflows across industries by delivering tailored CRM solutions and administrative support that drive client satisfaction and organizational success.",,,,,,1,1,0,2025-06-06 00:00:00,2025-06-06 00:00:00
100,3316,4,Customer Support Specialist,"Customer Support Specialist with 4+ years' expertise in healthcare (Medicare), telecom, and tech. Skilled in HIPAA-compliant claim resolution, CRM optimization, and advanced data analysis to enhance customer satisfaction and operational efficiency. Certified professional driving seamless remote collaboration and support excellence.",,,,uploads/document/1749302247_7e517f1ff682dabd2273.pdf,,1,1,0,2025-06-07 00:00:00,2025-06-07 00:00:00
101,3369,3,Humanec.ai Website,,,,,,https://humanec.vercel.app/,1,1,0,2025-06-08 00:00:00,2025-06-08 00:00:00
102,3369,3,Humanec.ai Website,,,,,,https://humanec-admin.vercel.app/,1,1,0,2025-06-08 00:00:00,2025-06-08 00:00:00
103,3440,1,Prep paint artist,"Nawaz Sayyed is a passionate fresher roto/paint artist based in Mumbai, specializing in precision visual effects and post-production support. Skilled in delivering clean, detailed roto and paint services, Nawaz brings fresh creativity and dedication to enhancing film and media projects with seamless imagery.",,uploads/document/1749450363_ec502c696d3e589a5ace.jpg,,,,1,1,0,2025-06-09 00:00:00,2025-06-09 00:00:00
104,3507,3,Google adsense,"A Google AdSense portfolio created with Canva showcases expertise in digital advertising and content monetization. It highlights proficiency in ad placement, optimization, and revenue growth for websites or blogs. This project emphasizes a clear strategy and visually engaging presentations to maximize AdSense impact and earnings.",,,,,https://www.canva.com/design/DAGfuP48pHo/k437JyP52IGs_L-2Z7xAgg/view?utm_content=DAGfuP48pHo&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h98a9a8d974,1,1,0,2025-06-09 00:00:00,2025-06-09 00:00:00
105,3507,3,"Google ads, youtube campaign project brief","Creating YouTube campaigns, we design and manage multiple targeted campaigns to maximize brand visibility and ROI. Our expertise spans diverse industries, delivering customized strategies that boost engagement, drive conversions, and elevate online presence with measurable impact.",,,,,https://www.canva.com/design/DAGn4WSNO44/fr-a6rOCIY8GL5w1R7s_RA/view?utm_content=DAGn4WSNO44&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=haf613e3afe,1,1,0,2025-06-09 00:00:00,2025-06-09 00:00:00
106,3590,1,Project manager,"Over all 10 years of experience in all types if pile foundation experience in all metro projects elevated and underground metro project,oil and gas refinery",,,,,,1,1,0,2025-06-10 00:00:00,2025-06-10 00:00:00
107,3607,1,Lunar Object Detection,"Developed a deep learning model for lunar crater and boulder detection, achieving 60% accuracy using U-Net and Mask R-CNN.\r\nEmployed Python for image preprocessing and data augmentation, enhancing model robustness by 35% with Canny Edge Detection and\r\n Generative Adversarial Networks (GANs).\r\nBuilt a Flask web interface for real-time lunar image analysis, increasing exploration efficiency by 40%.",,,,,,1,1,0,2025-06-11 00:00:00,2025-06-11 00:00:00
108,3607,1,Carolinas Website Development,"• Built responsive, SEO-optimized interfaces using React.js, improving mobile usability and page performance by 35%.\r\n • Developed core pages (Home, Services, Booking) with dynamic forms and scheduling, boosting consultation conversions by 40%.\r\n • Collaborated with design and backend teams to enhance user experience, increasing engagement and lead capture by 50%.",,,,,,1,1,0,2025-06-11 00:00:00,2025-06-11 00:00:00
109,3607,1,SQL-Based Book Inventory Management System,"• Engineered an SQL-based inventory system, reducing stock discrepancies by 25% with real-time tracking.\r\n • Optimized query performance, improving book search efficiency by 40%.\r\n • Developed data visualization reports, providing insights into inventory trends and sales, boosting revenue by 15%.",,,,,,1,1,0,2025-06-11 00:00:00,2025-06-11 00:00:00
110,3697,3,My Portfolio,"A dynamic personal portfolio showcasing expertise in React, Node.js, and Express. Focused on full-stack development, it highlights clean, responsive design and efficient backend integration. Demonstrates a commitment to modern web technologies, delivering seamless user experiences and robust functionality.",,,,,https://portfolio-sigma-eosin-59.vercel.app,1,1,0,2025-06-11 00:00:00,2025-06-11 00:00:00
111,3694,1,WoOVRA,"WoOVRA specializes in SaaS-based mall revenue management solutions. Leveraging deep industry insights, it delivers streamlined analytics and reporting tools to optimize mall operations. With expertise in business analysis and retail systems, WoOVRA drives enhanced revenue tracking and decision-making efficiency for shopping centers.",,,,,,1,1,0,2025-06-11 00:00:00,2025-06-11 00:00:00
112,3694,1,WOOV BI,"WOOV BI specializes in delivering advanced business intelligence solutions tailored for the [industry] sector. Leveraging expertise in data analysis and product strategy, WOOV BI empowers organizations to make data-driven decisions, optimize operations, and accelerate growth with intuitive analytics and customized insights.",,,,,,1,1,0,2025-06-11 00:00:00,2025-06-11 00:00:00
113,3694,1,My Ginny,"Experienced Product Manager specializing in online and offline POS development and e-commerce projects in Egypt. Expertise in driving digital transformation, enhancing retail efficiency, and delivering tailored solutions that boost sales and customer engagement in the dynamic Egyptian market.",,,,,,1,1,0,2025-06-11 00:00:00,2025-06-11 00:00:00
114,3694,1,Shoparty,"Shoparty is a UAE-based e-commerce platform specializing in seamless online retail experiences. As a Senior Business Analyst, I drive data-driven strategies, optimize operations, and enhance user engagement, delivering tailored solutions that boost market presence and revenue growth in the competitive Middle Eastern digital marketplace.",,,,,,1,1,0,2025-06-11 00:00:00,2025-06-11 00:00:00
115,3694,1,Metaprops,"Metaprops specializes in NFT blockchain solutions, offering expert business analysis to drive innovative digital asset management for real estate. Combining deep industry knowledge with cutting-edge technology, Metaprops delivers seamless NFT marketplace development and strategic insights, empowering clients to capitalize on the evolving blockchain ecosystem.",,,,,,1,1,0,2025-06-11 00:00:00,2025-06-11 00:00:00
