id,name,short,status,type,subject,template_path,create_date,modify_date
120,Level 2 Verified User,L2VU,1,1,You’ve Reached Level 2 Verification on Collar Check!,email/trigger/level2_verified_user,,
121,Level 2 Verified Company,L2VC,1,2,Verify Your Company Domain on CollarCheck,email/trigger/level2_verified_company,,
122,Level 3 Verified Company,L3VC,1,3,Verify Your Company Domain on Collar Check,email/trigger/level3_verified_company,,
123,Level 3 Verified User,L3VU,1,3,You’ve Reached Level 3 Verification on Collar Check!,email/trigger/level3_verified_user,,
124,Level 4 Verified User,L3VU,1,3,You’ve Reached Level 4 Verification on Collar Check!,email/trigger/level4_verified_user,,
125,Level 4 Verified Company,L3VC,1,3,Employee Successfully Verified!,email/trigger/level4_verified_company,,
126,Build Your Verification Levels User,BYVLU,1,1,Your Professional Credibility Now Has Levels!,email/schedule/employee/build_your_level_verification_employee,,
127,Unlock Level 1 User,UL1U,1,1,Start Your Verification Journey on Collar Check!\r\n,email/schedule/employee/unlock_level1_user,,
128,Unlock Level 2 User,UL2U,1,1,You’re One Step Away From Level 2 Verification!\r\n,email/schedule/employee/unlock_level2_user,,
129,Unlock Level 3 User,UL3U,1,1,Your Profile Is Ready For Level 3 Verification!\r\n\r\n,email/schedule/employee/unlock_level3_user,,
130,Unlock Level 4 User,UL4U,1,1,Unlock The Highest Trust Level On Collar Check!\r\n\r\n\r\n,email/schedule/employee/unlock_level4_user,,
